Page Name,Exisiting text,Key,Feedback and Instructions,Translation,Dev Comments,Reply for Dev Comments
,,"Ensure the tablet is connected to the internet, select Upload to sync data collected to the server.",,"டேப்லெட் இணையத்துடன் இணைக்கப்பட்டுள்ளதா என்பதை உறுதி செய்து, சேகரிக்கப்பட்ட தகவல்களை வலைதள சேவையகத்தில் ஒத்திசைவு செய்ய பதிவேற்று என்பதைத் தேர்ந்தெடுக்கவும். ",,
,,"After you press Upload and the data has synced, a summary page will show you details of data that has been synced to the server. Return to the Home screen by pressing the Back button.",,"நீங்கள் பதிவேற்றவும் செய்த பிறகு, சேகரிக்கப்பட்ட தகவல்களை வலைதள சேவையகத்தில் ஒத்திசைவு நடைபெறும். பின்னர் வலைதள சேவையகத்தில் ஒத்திசைக்கப்பட்டுள்ள தரவிற்கான விவரங்களின் சுருக்க பக்கம் தெரியவரும். பின்னர் முகப்புத் திரைக்கு திரும்ப டேப்லெடில் உள்ள “BACK” என்ற பொத்தானை அழுத்தவும்",,
,,Note: You may have to prepare the tablet and computer. You will need to install the respective brand driver to connect the computer to the tablet. You can find the instructions for this here. You will also need to prepare the tablet for the application. You can find the instructions for this here.,,குறிப்பு: நீங்கள் டேப்லெட் மற்றும் கணினியை தயார் செய்ய வேண்டும். கணினியை டேப்லெட்டில் இணைக்க நீங்கள் அந்த பிராண்டிற்கான டிரைவரை நிறுவ வேண்டும். இதற்கான வழிமுறைகளை இங்கே காணலாம். நீங்கள் டேப்லெட்டில் மென்பொருள் பயன்படுத்துவதற்க்கு டேப்லெட்டை தயார் செய்ய வேண்டும். இதற்கான வழிமுறைகளை இங்கே காணலாம்.,,
Download,,"Download and install the survey application on your tablet or mobile device. 
 1. Click the Download Application button. The survey app will be in .apk format.
 2. Save the VDP.apk file to your computer.
 3. Then copy the application file from your computer and paste into tablet drive.
 4. Then run the application file. Click the install button. The application will have a Government of Tamil Nadu logo in the name of “Village Development Plan”. 
 5. Open the application to set up the survey
 6. Enter the Surveyor Code and press Okay.
 7. Press the Download Survey button. This will automatically download the appropriate survey to the tablet. Return to the Home screen by pressing the Back button. 
 8. To administer the survey press Proceed.
 9. Ensure the tablet is connected to the internet, select Upload to sync data collected to the server. 
 10. After you press Upload and the data has synced, a summary page will show you details of data that has been synced to the server. Return to the Home screen by pressing the Back button.
Note: You may have to prepare the tablet and computer. You will need to install the respective brand driver to connect the computer to the tablet. You can find the instructions for this here. You will also need to prepare the tablet for the application. You can find the instructions for this here.",Add this note below the page heading. We will share two PDFs for the Note at the bottom of the instructions. ,"""உங்கள் டேப்லெட் அல்லது மொபைலில் கணக்கெடுப்பிற்கான மென்பொருளை பதிவிறக்கம் செய்து நிறுவவும். 
 1. மென்பொருள் பதிவிறக்கம் பொத்தானை அழுத்தவும். கணக்கெடுப்பிற்கான மென்பொருள் .apk வடிவத்தில் இருக்கும்.
 2. .apk மென்பொருள் கோப்புவை உங்கள் கணிணியில் சேமித்து வைத்துக்கொள்ளவும்.
 3. பின்னர் உங்கள் கணினியிலிருந்து .apk மென்பொருள் கோப்புவை நகலெடுத்து, டேப்லெட் அல்லது மொபைலில் உள்ளிடவும்.
 4. பின்னர் .apk மென்பொருள் கோப்புவை இயக்கவும். நிறுவுதல் என்ற பொத்தானைக் அழுத்தவும். பின்னர் தமிழக அரசு சின்னம் கொண்ட மென்பொருள் “கிராம வளர்ச்சி திட்டம்” என்ற பெயரில் தங்கள் டேப்லெட் அல்லது மொபைலில் நிறுவப்பட்டிருக்கும். 
 5. கணக்கெடுப்பு செல்ல மென்பொருளை அழுத்தி இயக்கவும்.
 6. கணக்கெடுப்பாளரின் குறியீட்டை பதிவு செய்து “OK“ என்ற பொத்தானை அழுத்தவும்.
 7. கணக்கெடுப்பு பதிவிறக்கம் என்ற பொத்தானை அழுத்தவும். இது கணக்கெடுப்பாளரின் குறியீட்டிற்கு ஏற்ற சரியான கணக்கெடுப்பு படிவத்தை தானாகவே பதிவிறக்கம் செய்யும்.பின்னர் டேப்லெடில் உள்ள “BACK” என்ற பொத்தானை அழுத்தி முகப்புத் திரைக்கு திரும்பவேண்டும். 
8. கணக்கெடுப்பு படிவத்தை செயலாக்கம் செய்ய “தொடர்க” என்ற பொத்தானை அழுத்தவும். 
9. டேப்லெட் இணையத்துடன் இணைக்கப்பட்டுள்ளதா என்பதை உறுதி செய்து, சேகரிக்கப்பட்ட தகவல்களை வலைதள சேவையகத்தில் ஒத்திசைவு செய்ய பதிவேற்று என்பதைத் தேர்ந்தெடுக்கவும். 
10. நீங்கள் பதிவேற்றவும் செய்த பிறகு, சேகரிக்கப்பட்ட தகவல்களை வலைதள சேவையகத்தில் ஒத்திசைவு நடைபெறும். பின்னர் வலைதள சேவையகத்தில் ஒத்திசைக்கப்பட்டுள்ள தரவிற்கான் விவரங்களின் சுருக்க பக்கம் தெரியவரும். 
குறிப்பு: நீங்கள் டேப்லெட் மற்றும் கணினியை தயார் செய்ய வேண்டும். கணினியை டேப்லெட்டில் இணைக்க நீங்கள் அந்த பிராண்டிற்கான டிரைவரை நிறுவ வேண்டும். இதற்கான வழிமுறைகளை இங்கே காணலாம். நீங்கள் டேப்லெட்டில் மென்பொருள் பயன்படுத்துவதற்க்கு டேப்லெட்டை தயார் செய்ய வேண்டும். இதற்கான வழிமுறைகளை இங்கே காணலாம்.""",,This is for PDF Download
Download,,Download application,Can we add this button,மென்பொருளை பதிவிறக்கம் செய்க,This is already there.  Is that correct?,This is for application download
,,Download and install application on your Android tablet,,,Needs translation,
Validate,,Validate data,Add this as a page title,தகவலை சரிபார்க்க,,
Validate,,Validate data collected to monitor the quality of data collected.,Add this note below the page heading,சேகரிக்கப்பட்ட தகவலின் தரத்தை கண்காணிக்க சேகரிக்கப்பட்ட தகவலை சரிபார்த்தல்,,
Validate,Surveys Currently Live,Enabled surveys,,செயல்பாட்டில் உள்ள கணக்கெடுப்புகள்,,
Validate,Name,Survey name,,கணக்கெடுப்பின் பெயர்,,
Validate,Live,Enabled surveys,,செயல்பாட்டில் உள்ள கணக்கெடுப்புகள்,,
Validate,Created On,Date created,,உருவாக்கப்பட்ட தேதி,,
Validate,,Answers collected,,சேகரிக்கப்பட்ட பதில்கள்,,
Validate,,Answers processed,,செயலாக்கப்பட்ட பதில்கள்,,
Validate,,Actions,,நடவடிக்கை,,
Validate,,ProcessNoun,,செயலாக்கம்,,
Validate,,Export,,தகவல் வெளிக்கொணர்க,,
Validate,,Validate,"Can you please add this column - when i click validate for the mapping it should go to the mapping validations, same for household. Understand that these are custom made. ",சரிபார்க்க,What about new surveys then?  We can't do it only for mapping / household surveys (as it'll not work if the name is changed),
Data validation,,Data validation,Add this title to the page - Please add this below the table.,தகவலை சரிபார்த்தல்,,
Data validation,,Mapping data,,வரைபட கணக்கெடுப்பு தகவல்,,
Data validation,,Check and monitor mapping data,,வரைபடத் தகவலை சரிபார்த்தல் மற்றும் கண்காணித்தல்,,
Data validation,,Household data,,குடும்ப கணக்கெடுப்புத் தகவல்,,
Data validation,,Check and monitor household data,,குடும்ப கணக்கெடுப்புத் தகவலை சரிபார்த்தல் மற்றும் கண்காணித்தல்,,
Mapping data validation,District,District name,,மாவட்டத்தின் பெயர்,,
Mapping data validation,Block,Block name,,வட்டாரத்தின் பெயர்,,
Mapping data validation,Summary of infrastructure available,Summary of infrastructure available,,கிடைக்கப்பெற்றிருக்கும் உள்கட்டமைப்பின் விவரப்பட்டியல்,,
Mapping data validation,Roads,Roads,,சாலைகள்,,
Mapping data validation,Street lights,Street lights,,தெருவிளக்குகள்,,
Mapping data validation,Water soruces,Water sources,,நீர் ஆதாரம்,,
Mapping data validation,Public toilets,Public toilets,,பொது கழிப்பிடம்,,
Mapping data validation,PDS outlets,PDS outlets,,பொது விநியோக கடை,,
Mapping data validation,Anganwadis,Anganwadis,,அங்கன்வாடி,,
Mapping data validation,Bus stops,Bus stops,,பேருந்து நிறுத்தங்கள்,,
Mapping data validation,Schools,Schools,,பள்ளிக் கூடங்கள்,,
Mapping data validation,Place of worship,Place of worship,,வழிபடும் இடம்,,
Mapping data validation,Common land,Common land,,பொதுவான நிலம்,,
Mapping data validation,Communal halls,Communal halls,,சமுதாயக் கூடம்,,
Mapping data validation,Bridges or culverts,Bridges or culverts,,பாலம் அல்லது சாலையிலுள்ள வாய்கால் பாலம்,,
Mapping data validation,Shops,Shops,,கடைகள்,,
Mapping data validation,Agricultural facilities,Agricultural facilities,,விவசாய வசதிகள்,,
Mapping data validation,Government buildings,Government buildings,,அரசாங்க கட்டிடங்கள்,,
Mapping data validation,VPRC office,VPRC office,,கிராம வறுமை ஒழிப்பு சங்க அலுவலகம்,,
Mapping data validation,Village Panchayat Office,Village Panchayat office,,கிராம ஊராட்சி அலுவலகம்,,
Mapping data validation,Banks,Banks,,வங்கிகள்,,
Mapping data validation,ATMs,ATMs,,ATMs,,
Mapping data validation,Garbage bins,Garbage bins,,குப்பை தொட்டிகள்,,
Household data validation,District,District name,The UIs do not look like what I have provided in mutliple emails over 6 months ago. Please see D36 as well. ,மாவட்டத்தின் பெயர்,These requirements were later changed to a new sheet midway in March.  We've followed that to the extent possible.,
Household data validation,Block,Block name,,வட்டாரத்தின் பெயர்,,
Household data validation,Village,Village Panchayat name,,கிராம ஊராட்சியின் பெயர்,,
Household data validation,,Surveyor Name,,கணக்கெடுப்பாளரின் பெயர்,,
Household data validation,,Surveyor Code,,கணக்கெடுப்பாளரின் குறியீடு,,
Household data validation,,Information about Household Confirmation:,,குடும்பங்களின் உறுதிபடுத்துதல் பற்றிய தகவல்கள்,,
Household data validation,,Number of surveys answered,,பதிலளிக்கப்பட்ட கணக்கெடுப்புகளின் மொத்த எண்ணிக்கை,,
Household data validation,,Total number of surveys completed,,முடிவடைந்த கணக்கெடுப்புகளின் மொத்த எண்ணிக்கை,,
Household data validation,,Percentage of households reported 'not willing',,விருப்பமில்லை என்று பதிவாகிருக்கும் குடும்பங்களின் சதவிகிதம்,,
Household data validation,,Percentage of households reported 'not there',,குடும்பங்கள் இல்லை என்று பதிவாகிருக்கும் குடும்பங்களின் சதவிகிதம்,,
Household data validation,,Percentage of households reported 'dead',,இறப்பு என்று பதிவாகிருக்கும் குடும்பங்களின் சதவிகிதம்,,
Household data validation,,Total,,மொத்தம்,,
Household data validation,,Percentage of completed surveys done in less than 15 minutes,,15 நிமிடங்களுக்கும் குறைவாக முடிக்கப்பட்ட கணக்கெடுப்புகளின் சதவீதம்,,
Household data validation,,Percentage of completed surveys done in less than 5 minutes,,5 நிமிடங்களுக்கும் குறைவாக முடிக்கப்பட்ட கணக்கெடுப்புகளின் சதவீதம்,,
Household data validation,,Average time per survey,,கணக்கெடுப்பின் சராசரி நேரம்,,
,,Answered,,பதிலளிக்கப்பட்டவைகள்,,
Household data validation,,Surveys answered,,பதிலளிக்கப்பட்ட கணக்கெடுப்புகள்,,
Household data validation,,"Surveys that reported as 'not willing', 'dead' or 'not there'",,"விருப்பமில்லை, இறப்பு, குடும்பங்கள் இல்லை என்று பதிவாகிருக்கும் கணக்கெடுப்புகள்",,
